18
0 1 2 3 4 5 6 7 
0 3 2 1 8 9 10 11 
1 5 4 0 11 12 13 8 
7 4 5 6 14 15 16 17 
6 2 3 7 17 10 9 14 
11 8 9 10 12 13 18 19 
13 12 5 4 18 19 16 15 
17 10 9 14 16 20 21 15 
10 19 18 9 20 22 23 21 
19 10 11 12 22 20 24 25 
22 23 21 20 25 26 27 24 
21 23 18 9 27 26 28 29 
26 27 24 25 28 29 11 12 
18 9 29 28 13 8 30 31 
12 28 29 11 5 31 30 1 
18 15 4 13 28 14 7 31 
10 11 24 20 2 1 32 33 
9 21 27 29 8 34 35 30 
